,AA,CG,CM,IL,KB,LD,LP,MT,MU,PA,RI
Early,40,4,19,0,99,8,10,0,10,8,18
Late,171,142,157,147,199,171,130,141,128,123,137
Middle,49,11,40,10,42,12,7,1,8,20,2
