,AA,CG,CM,IL,KB,LD,LP,MT,MU,PA,RI
Guangdong,46,8,22,4,63,8,3,1,9,12,9
Hong Kong,51,15,44,5,105,25,14,1,10,20,13
Unknown Area,163,134,150,148,172,158,130,140,127,119,135
